batch,cell_rmsd_A,convergence_match,distribution,energy_error_eV_per_atom,force_error_eV_per_A,memory_gate_fraction,method,model,neighbor_fraction,neighbor_rebuilds,neighbor_time_s,observed_backend,peak_allocated_GB,peak_reserved_GB,pool,position_rmsd_A,requested_backend,source,speedup_vs_ase,speedup_vs_matscipy,status,step_difference,task,throughput_per_s,validation_passed,velocity_rmsd_A_per_fs,wall_time_s,workload
16,,,H46,3.1720037045686142e-06,0.0032044053077697754,0.02629521996192003,native_batch,AtomBit,0.05720968972955685,1251,3.190853601813319,matscipy,1.230965248,2.235564032,32,1.401925195008875e-05,matscipy,runs/direct_backend_frontier/nve/atombit_h46_r32.json,8.22188864962201,1.0,passed,,nve,573.736780122238,True,5.643203880258004e-06,55.77470559440553,MD-NVE-H46-R32-v1
32,,,H46,2.477480010206225e-06,0.0033656954765319824,0.049827715124839085,native_batch,AtomBit,0.07196534205497655,868,3.142074975490573,matscipy,2.364666368,4.23624704,32,1.23375580181509e-05,matscipy,runs/direct_backend_frontier/nve/atombit_h46_r32.json,10.503057120913633,1.0,passed,,nve,732.9204311554338,True,3.92557815958367e-06,43.66094686370343,MD-NVE-H46-R32-v1
16,,,H46,4.457390834095745e-06,0.0029315948486328125,0.02555520439075905,native_batch,AtomBit,0.056914920920086876,1251,3.173491487979888,"cuda_dense,matscipy",1.232537088,2.172649472,32,1.1391804249270505e-05,auto,runs/direct_backend_frontier/nve/atombit_h46_r32.json,8.224275996793574,1.0002903648143757,passed,,nve,573.9033730958986,True,4.087912958762932e-06,55.758515283465385,MD-NVE-H46-R32-v1
32,,,H46,3.7317690567840107e-06,0.002610504627227783,0.049827715124839085,native_batch,AtomBit,0.06723183622751547,868,2.9037720621824286,"cuda_dense,matscipy",2.364666368,4.23624704,32,1.5284352613115388e-05,auto,runs/direct_backend_frontier/nve/atombit_h46_r32.json,10.617476969626116,1.0108939566257003,passed,,nve,740.9048345425305,True,2.6833905587444457e-06,43.190432169009,MD-NVE-H46-R32-v1
1,,,MIX,,,,ase_b1,AtomBit,0.0,,0.0,,0.537895936,0.887095296,32,,ase,runs/direct_backend_frontier/nve/atombit_mix_r32.json,1.0,,passed,,nve,61.76221879427211,True,,518.116101149004,MD-NVE-MIX-R32-v1
16,,,MIX,5.348868984603304e-06,0.024274051189422607,0.051801089981268346,native_batch,AtomBit,0.12470336488061005,1389,11.938569347620003,matscipy,3.7316864,4.4040192,32,5.195940341356448e-05,matscipy,runs/direct_backend_frontier/nve/atombit_mix_r32.json,5.411940018171751,1.0,passed,,nve,334.2534235038006,True,1.1508269563008888e-05,95.73574345046654,MD-NVE-MIX-R32-v1
32,,,MIX,2.4152838665506113e-06,0.005613774061203003,0.09336529789480986,native_batch,AtomBit,0.13471810475036153,897,11.947337682127962,matscipy,7.196781568,7.93772032,32,1.9998935964098953e-05,matscipy,runs/direct_backend_frontier/nve/atombit_mix_r32.json,5.8422739060815,1.0,passed,,nve,360.83179924347235,True,5.2322130400271876e-06,88.6839798130095,MD-NVE-MIX-R32-v1
16,,,MIX,2.087026398451111e-06,0.01128607988357544,0.04854502146816005,native_batch,AtomBit,0.09012098604945949,1389,8.297717726111408,"cuda_dense,matscipy",3.729527808,4.127195136,32,2.871590235987482e-05,auto,runs/direct_backend_frontier/nve/atombit_mix_r32.json,5.6272261198660605,1.0397798388325519,passed,,nve,347.5499708200105,True,6.719724572074557e-06,92.07309074001387,MD-NVE-MIX-R32-v1
32,,,MIX,2.3219896399456523e-06,0.0055367350578308105,0.09388330879462255,native_batch,AtomBit,0.07623114041695281,899,6.314259109616274,"cuda_dense,matscipy",7.196540928,7.981760512,32,2.6796955619461962e-05,auto,runs/direct_backend_frontier/nve/atombit_mix_r32.json,6.25514103449171,1.0706689099222884,passed,,nve,386.33138916130656,True,6.687042749408315e-06,82.83044271776453,MD-NVE-MIX-R32-v1
1,,,H276,,,,ase_b1,MACE-OFF-Small,0.0,,0.0,,0.508911104,0.738197504,32,,ase,runs/direct_backend_frontier/nve/mace_h276_r32.json,1.0,,passed,,nve,46.56241658885448,True,,687.2495532729663,MD-NVE-H276-R32-v1
