model,task,pool_size,workload_id,method,batch_size,status,wall_time_s,end_to_end_time_s,speedup_vs_ase_b1_measured,speedup_vs_ase_b1_derived,speedup_reference,speedup_vs_ase_b1_end_to_end,throughput_per_s,atoms_per_s,peak_allocated_GB,peak_reserved_GB,gpu_memory_GB,memory_gate_fraction,model_time_s,neighbor_search_time_s,graph_update_time_s,mean_directed_edges_per_system,mean_candidate_edges_per_system,neighbor_rebuild_events,rebuilt_systems,max_energy_error_eV_per_atom,max_force_error_eV_per_A,endpoint_position_rmsd_A_max,endpoint_velocity_rmsd_A_per_fs_max,max_abs_energy_drift_eV_per_atom,mean_abs_energy_drift_eV_per_atom,validation_pass,concurrent_workers,torch_cpu_threads,source_status
MACE-OFF-Small,eval,256,EVAL-H46-R256-v1,native_batch,64,passed,0.5214286539703608,0.9615518776699901,14.661631680469732,,measured_same_workload,8.908086323050126,490.95882639113967,22584.106013992427,4.570679808,5.018484736,85.01788672,0.05902857539294055,0.1376123504638672,0.27345750427246096,0.171688289642334,858.8125,,8,512,1.2653839329014653e-12,7.993605777301127e-15,,,,,True,,,passed
MACE-OFF-Small,eval,256,EVAL-H46-R256-v1,native_batch,128,passed,0.5086179450154305,0.94500318961218,15.03091848622171,,measured_same_workload,9.064082771922113,503.32474995988093,23152.938498154523,9.060679168,9.875488768,85.01788672,0.11615777748656794,0.12774268722534182,0.27269987487792974,0.17421610260009768,858.8125,,4,512,1.2653839329014653e-12,7.327471962526033e-15,,,,,True,,,passed
MACE-OFF-Small,eval,256,EVAL-H46-R256-v1,native_batch,256,passed,0.4947197553701699,0.9325895188376307,15.453182916530649,,measured_same_workload,9.184734502540046,517.464680197479,23803.375289084033,18.038731776,19.631439872,85.01788672,0.23090952538793003,0.12309091186523438,0.27208067321777346,0.16757192993164063,858.8125,,2,512,1.2653839329014653e-12,7.993605777301127e-15,,,,,True,,,passed
MACE-OFF-Small,eval,256,EVAL-H276-R256-v1,ase_b1,1,passed,5.443782444112003,15.038756095804274,,,,,47.026126159190966,12979.210819936707,0.506685952,0.624951296,85.01788672,0.007350821340199033,5.4434658203125,0.0,0.0,,,0,0,,,,,,,,,,passed
MACE-OFF-Small,eval,256,EVAL-H276-R256-v1,native_batch,32,passed,1.8551360126584768,11.444110898766667,2.9344384492384825,,measured_same_workload,1.3141043658904952,137.99527272026958,38086.69527079441,13.461727744,14.898167808,85.01788672,0.17523568725091923,0.7236966705322265,0.9821137962341309,0.5383698577880859,4942.5,,16,512,8.435892886009769e-13,9.325873406851315e-15,,,,,True,,,passed
MACE-OFF-Small,eval,256,EVAL-H276-R256-v1,native_batch,64,passed,1.8004066050052643,11.393115900456905,3.0236405648467866,,measured_same_workload,1.3199862291580098,142.19010266253244,39244.46833485895,26.827119616,29.08749824,85.01788672,0.34213386573342475,0.7081446685791016,0.9575221481323242,0.5168352508544922,4942.5,,8,512,8.435892886009769e-13,8.881784197001252e-15,,,,,True,,,passed
MACE-OFF-Small,eval,256,EVAL-H276-R256-v1,native_batch,128,passed,1.7891220296733081,11.35205043759197,3.042711650644664,,measured_same_workload,1.3247612119484504,143.08694194925616,39491.9959779947,53.575461376,57.778634752,85.01788672,0.6796056333685354,0.7022759704589844,0.9549756164550781,0.5107361602783203,4942.5,,4,512,7.381406275258548e-13,7.993605777301127e-15,,,,,True,,,passed
MACE-OFF-Small,eval,256,EVAL-H276-R256-v1,native_batch,256,oom,,,,,,,,,,,85.01788672,,0,0.0,0.0,,,0,0,,,,,,,,,,error
MACE-OFF-Small,eval,256,EVAL-MIX-R256-v1,ase_b1,1,passed,5.219988043885678,15.178664446808398,,,,,49.042257922383584,,0.50588416,0.6815744,85.01788672,0.008016835354243912,5.21973291015625,0.0,0.0,,,0,0,,,,,,,,,,passed
MACE-OFF-Small,eval,256,EVAL-MIX-R256-v1,native_batch,32,passed,1.1738325278274715,10.920144570060074,4.446961487382556,,measured_same_workload,1.389969184879106,218.08903223512186,,7.891047936,8.53540864,85.01788672,0.10039544582083913,0.4355745239257813,0.6068611221313477,0.3462496643066406,2900.65625,,16,512,1.2653839329014653e-12,7.993605777301127e-15,,,,,True,,,passed
MACE-OFF-Small,eval,256,EVAL-MIX-R256-v1,native_batch,64,passed,1.15865447698161,10.951770924031734,4.505215443938192,,measured_same_workload,1.385955253455995,220.94593779752267,,15.697451008,16.951279616,85.01788672,0.19938486205647243,0.4219978485107422,0.6130580596923827,0.34296991729736326,2900.65625,,8,512,1.2653839329014653e-12,8.43769498715119e-15,,,,,True,,,passed
MACE-OFF-Small,eval,256,EVAL-MIX-R256-v1,native_batch,128,passed,1.1450352519750595,10.924732737708837,4.558801167808392,,measured_same_workload,1.3893854258252276,223.57390268852268,,31.321787392,33.793507328,85.01788672,0.39748703045626577,0.41467707824707034,0.6130428314208984,0.3412150268554688,2900.65625,,4,512,1.2653839329014653e-12,8.43769498715119e-15,,,,,True,,,passed
MACE-OFF-Small,eval,256,EVAL-MIX-R256-v1,native_batch,256,passed,1.1443156013265252,10.901652223896235,4.561668160282452,,measured_same_workload,1.392326973478114,223.71450647289706,,62.52155648,67.51780864,85.01788672,0.7941600437842545,0.41180499267578125,0.6158632202148437,0.34242251586914063,2900.65625,,2,512,1.2653839329014653e-12,8.881784197001252e-15,,,,,True,,,passed
MACE-OFF-Small,eval,32,EVAL-H46-R32-v1,ase_b1,1,passed,3.279119770973921,4.214175125118345,,,,,9.75871643459238,448.9009559912495,0.145898496,0.176160768,85.01788672,0.002072043599250734,3.27884814453125,0.0,0.0,,,0,0,,,,,,,,,,passed
MACE-OFF-Small,eval,32,EVAL-H46-R32-v1,native_batch,8,passed,0.12997638015076518,0.5884160147979856,25.22858204829469,,measured_same_workload,7.161897397651816,246.19857825615568,11325.134599783161,0.641583104,0.69206016,85.01788672,0.00814017128277074,0.06238790416717529,0.040124351978302004,0.02997881555557251,858.8125,,8,64,1.2653839329014653e-12,5.773159728050814e-15,,,,,True,,,passed
MACE-OFF-Small,eval,32,EVAL-H46-R32-v1,native_batch,16,passed,0.08497868990525603,0.48522775480523705,38.5875538282581,,measured_same_workload,8.684942448953379,376.56499571454043,17321.989802868862,1.19856384,1.480589312,85.01788672,0.017415033107988313,0.031322559356689456,0.034716959953308105,0.023073152542114256,858.8125,,4,64,1.1072109412887823e-12,6.217248937900877e-15,,,,,True,,,passed
MACE-OFF-Small,eval,32,EVAL-H46-R32-v1,native_batch,32,passed,0.07190245483070612,0.4798963936045766,45.6051156903417,,measured_same_workload,8.781426952315726,445.0473919888243,20472.180031485917,2.323390464,2.55852544,85.01788672,0.030093966560546376,0.022264703750610352,0.03426102447509766,0.0218656005859375,858.8125,,2,64,1.2653839329014653e-12,6.661338147750939e-15,,,,,True,,,passed
MACE-OFF-Small,eval,32,EVAL-H276-R32-v1,ase_b1,1,passed,0.6660781418904662,9.964031796902418,,,,,48.042411223970575,13259.70549781588,0.506685952,0.624951296,85.01788672,0.007350821340199033,0.6659207763671875,0.0,0.0,,,0,0,,,,,,,,,,passed
MACE-OFF-Small,eval,32,EVAL-H276-R32-v1,native_batch,8,passed,0.25101354205980897,9.562432774342597,2.6535546107379333,,measured_same_workload,1.0419975786535587,127.48316181433495,35185.35266075645,3.434826752,4.542431232,85.01788672,0.0534291242378225,0.10361465644836426,0.11954963111877442,0.06795136070251466,4942.5,,8,64,7.381406275258548e-13,8.881784197001252e-15,,,,,True,,,passed
MACE-OFF-Small,eval,32,EVAL-H276-R32-v1,native_batch,16,passed,0.23783549992367625,9.543481664266437,2.8005833532177378,,measured_same_workload,1.0440667407797977,134.54677712229298,37134.910485752865,6.768324096,8.277458944,85.01788672,0.09736138197907912,0.0959329605102539,0.11967862510681151,0.06552995109558106,4942.5,,4,64,5.272433053756106e-13,9.769962616701378e-15,,,,,True,,,passed
MACE-OFF-Small,eval,32,EVAL-H276-R32-v1,native_batch,32,passed,0.23242327896878123,9.636362220626324,2.8657978875684518,,measured_same_workload,1.0340034515903447,137.67984059934975,37999.63600542053,13.454283776,14.81637888,85.01788672,0.17427366700840996,0.09132978820800781,0.12103507232666016,0.06494895935058594,4942.5,,2,64,7.381406275258548e-13,7.105427357601002e-15,,,,,True,,,passed
MACE-OFF-Small,eval,32,EVAL-MIX-R32-v1,ase_b1,1,passed,0.6365406103432178,5.529217183124274,,,,,50.27173361766478,,0.50588416,0.6815744,85.01788672,0.008016835354243912,0.63637158203125,0.0,0.0,,,0,0,,,,,,,,,,passed
MACE-OFF-Small,eval,32,EVAL-MIX-R32-v1,native_batch,8,passed,0.18334651505574584,5.090539702214301,3.471790070019493,,measured_same_workload,1.0861750436243836,174.5329055764737,,2.033825792,2.472542208,85.01788672,0.029082611946626376,0.0704010887145996,0.0864608325958252,0.051373311996459954,2889.5625,,8,64,1.1072109412887823e-12,7.993605777301127e-15,,,,,True,,,passed
MACE-OFF-Small,eval,32,EVAL-MIX-R32-v1,native_batch,16,passed,0.1670925710350275,5.076373575720936,3.80950874356814,,measured_same_workload,1.089206123357268,191.5106087708224,,3.988194816,4.37256192,85.01788672,0.051431082195687865,0.060442718505859375,0.08566921615600587,0.04901968002319336,2889.5625,,4,64,1.2653839329014653e-12,7.105427357601002e-15,,,,,True,,,passed
MACE-OFF-Small,eval,32,EVAL-MIX-R32-v1,native_batch,32,passed,0.16215871833264828,5.049296103417873,3.925417127665221,,measured_same_workload,1.0950471253570457,197.3375241802048,,7.881865216,8.518631424,85.01788672,0.10019810833519621,0.05686214447021484,0.0878744010925293,0.048337600708007813,2889.5625,,2,64,1.1072109412887823e-12,7.105427357601002e-15,,,,,True,,,passed
AtomBit,nve,32,MD-NVE-H276-R32-v1,ase_b1,1,passed,594.978912843857,663.9578845449723,,,,,53.783418721594096,14.844223567159972,0.563341312,1.241513984,85.01788672,0.014602973937576601,594.979375,0.0,0.0,,,0,0,,,,,0.003875679120276477,0.0018758776246541936,,6,1,passed
AtomBit,nve,32,MD-NVE-H276-R32-v1,native_batch,8,passed,156.24428625125438,181.0741734141484,3.80800429327111,,measured_same_workload,3.6667729694746924,204.80748939862812,56.52686707402136,3.329047552,13.123977216,85.01788672,0.15436724814417968,112.73785314273829,15.098855344295506,37.53263821029664,8636.14366883117,10327.522477522478,1906,2550,2.529310148455134e-06,0.008711278438568115,2.968135929882463e-05,6.96358741234312e-06,0.0038752106652710622,0.0018758918496158076,True,6,1,passed
AtomBit,nve,32,MD-NVE-H276-R32-v1,native_batch,16,passed,141.95717042544857,165.32355696847662,4.191256497017325,,measured_same_workload,4.0161117793489876,225.4201031486845,62.215948469036924,6.48570368,45.690650624,85.01788672,0.5374239749628065,103.78543395996091,15.111674892187125,34.97911466884615,8636.140921578422,10327.51866883117,1439,2550,2.2390614368713866e-06,0.00857400894165039,2.5134971636512984e-05,6.4679049836055425e-06,0.003876005393868891,0.0018762162198187242,True,6,1,passed
AtomBit,nve,32,MD-NVE-H276-R32-v1,native_batch,32,passed,132.46405006200075,154.8281545424834,4.491625558522276,,measured_same_workload,4.28835366866553,241.57497815461758,66.67469397067445,12.455979008,72.630665216,85.01788672,0.8542986425339365,99.36144189071655,14.876933193922032,31.42855000400544,8636.14291958042,10327.525786713286,927,2550,2.930129783740942e-06,0.008040428161621094,2.5874800923489206e-05,6.711887859147019e-06,0.003875328146897164,0.0018757888372398516,True,6,1,passed
